ID,SMILES,IC50_mean,Type
CHEMBL3339034,O=C(CCCCCCC(=O)Nc1cc2c(Cl)ncnc2s1)NO,0.02653,1
CHEMBL3942719,Cc1ccc2c(c1)cc(C(=O)NCCCCCC(=O)Nc1ccccc1N)n2C,0.092,1
CHEMBL3930488,COc1ccc2cc(C(=O)NCCCCCC(=O)Nc3ccccc3N)[nH]c2c1,0.026000000000000002,1
CHEMBL3339029,CN(C)c1ccc(Nc2ncnc3sc(NC(=O)CCCCCCC(=O)NO)cc23)cc1F,0.00322,1
CHEMBL3670670,O=C(NO)c1ccc(CNC(=O)c2[nH]c(-c3ccc(F)cc3)cc2-c2ccc(F)cc2)cc1,3.9,0
CHEMBL4082243,COc1ccc(Nc2ncnc3cc(NC(=O)CCCCCCC(=O)NO)sc23)cc1,0.21548,1
CHEMBL406927,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(C)=O)c3nc4ccc(Cl)cc4[nH]3)c2c1,1.0,1
CHEMBL255805,Nc1ccc(-c2ccccc2)cc1NC(=O)c1cccnc1,11.35,0
CHEMBL3335298,O=C(CCCCc1ccn(Cc2ccc(-n3ccc4ccccc43)cc2)n1)NO,0.24600000000000002,1
CHEMBL3639548,CC(C)(Nc1ncc(C(=O)NO)cn1)c1ccc(F)cc1,1.48,0
CHEMBL3956299,CC(C)Cc1sc(-c2nccs2)nc1C(=O)NCCCCC(=O)Nc1ccccc1N,3.8139999999999996,0
CHEMBL3925099,Cc1nc(-c2nc(C(=O)NCCCCC(=O)NO)c(C3CC3)s2)sc1C,0.09699999999999999,1
CHEMBL3937615,CS(=O)(=O)c1ccc(C(=O)NCCCCC(=O)Nc2ccccc2N)cc1,11.95,0
CHEMBL3758191,Cc1ccccc1-c1ccc(/C=N/NC(=O)CCCCCC(=O)NO)cc1,0.0054,1
CHEMBL3601341,CC(C)N1CCN(c2nccc3ccc(NC(=O)CCCCCCC(=O)NO)cc23)CC1,0.036000000000000004,1
CHEMBL3883830,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(=O)(=O)NCCCCCCCC(=O)NO)cc2)cc1,0.256,1
CHEMBL3770345,Nc1ccccc1NC(=O)CCCCNC(=O)c1nc(-c2nccs2)sc1C1CC1,3.24871,0
CHEMBL561909,Nc1ccccc1NC(=O)CCCCC[C@H](NC(=O)CNC(=O)[C@@H](N)Cc1ccccc1)C(=O)NCC(=O)O,69.3,0
CHEMBL2442793,COc1cc([C@@H]2c3cc4c(cc3[C@@H](Nc3ccccc3OCCCC(=O)NO)[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,1.444,0
CHEMBL3664028,Nc1cc(F)ccc1NC(=O)c1ccc2c(cnn2CCN2CCOCC2)c1,0.32,1
CHEMBL3891531,Nc1sc(-c2ccccc2)cc1NC(=O)c1cnc2cc(N3CCNCC3)ccc2c1,0.171,1
